season,round,pick,team,pfr_player_name,position,age,hof,allpro,probowls,seasons_started,seasons_played,w_av,games,RAS,w_av_py,stratum
1987,1,1,TAM,Vinny Testaverde,QB,23,FALSE,0,2,15,21,97,233,10,4.619047619047619,Stratum 4
1987,1,6,STL,Kelly Stouffer,QB,23,FALSE,0,0,0,6,2,22,6.15,0.3333333333333333,Stratum 1
1987,1,7,DET,Reggie Rogers,DE,23,FALSE,0,0,0,6,1,15,6.43,0.16666666666666666,Stratum 2
1987,1,9,PHI,Jerome Brown,DT,22,FALSE,2,2,5,5,51,76,7.86,10.2,Stratum 2
1987,1,12,DAL,Danny Noonan,DT,22,FALSE,0,0,2,6,20,73,10,3.3333333333333335,Stratum 4
1987,1,13,ATL,Chris Miller,QB,22,FALSE,0,1,7,13,51,98,7.69,3.923076923076923,Stratum 2
1987,1,15,RAI,John Clay,OT,23,FALSE,0,0,1,2,5,12,2.63,2.5,Stratum 1
1987,1,16,MIA,John Bosa,DE,23,FALSE,0,0,1,3,10,31,10,3.3333333333333335,Stratum 4
1987,1,18,SEA,Tony Woods,DE,21,FALSE,0,0,9,10,51,147,7.86,5.1,Stratum 2
1987,1,18,SEA,Tony Woods,DE,21,FALSE,0,0,9,10,51,147,4.49,5.1,Stratum 1
1987,1,19,KAN,Paul Palmer,RB,22,FALSE,0,0,2,3,14,41,6.52,4.666666666666667,Stratum 2
1987,1,23,NWE,Bruce Armstrong,OT,21,FALSE,0,6,14,14,82,212,9.47,5.857142857142857,Stratum 4
1987,1,24,SDG,Rod Bernstine,RB,22,FALSE,0,0,3,9,31,84,7.39,3.4444444444444446,Stratum 2
1987,1,25,SFO,Terrence Flagler,RB,22,FALSE,0,0,0,5,6,41,7.83,1.2,Stratum 2
1987,1,27,DEN,Ricky Nattiel,WR,21,FALSE,0,0,1,6,19,70,8.68,3.1666666666666665,Stratum 3
1987,1,28,NYG,Mark Ingram,WR,22,FALSE,0,0,6,10,36,128,9.47,3.6,Stratum 4
1987,2,32,CLE,Gregg Rakoczy,OC,22,FALSE,0,0,3,6,21,81,0,3.5,Stratum 1
1987,2,37,SFO,Jeff Bregel,OG,23,FALSE,0,0,0,3,4,21,5.38,1.3333333333333333,Stratum 1
1987,2,40,NOR,Lonzell Hill,WR,21,FALSE,0,0,2,4,17,55,4.21,4.25,Stratum 1
1987,2,41,GNB,Johnny Holland,LB,22,FALSE,0,0,7,7,46,103,7.1,6.571428571428571,Stratum 2
1987,2,42,NYJ,Alex Gordon,LB,22,FALSE,0,0,3,7,20,96,1.94,2.857142857142857,Stratum 1
1987,2,43,MIA,Rick Graf,LB,23,FALSE,0,0,1,7,14,73,10,2,Stratum 4
1987,2,44,MIN,Ray Berry,LB,23,FALSE,0,0,2,7,18,89,1.29,2.5714285714285716,Stratum 1
1987,2,46,HOU,Walter Johnson,LB,23,FALSE,0,0,0,3,3,41,9.35,1,Stratum 3
1987,2,50,TAM,Winston Moss,LB,21,FALSE,0,0,10,11,55,169,5.48,5,Stratum 1
1987,2,51,TAM,Don Smith,RB,23,FALSE,0,0,0,4,6,37,6.96,1.5,Stratum 2
1987,2,54,CHI,Ron Morris,WR,22,FALSE,0,0,3,6,18,66,4.74,3,Stratum 1
1987,2,56,MIA,Scott Schwedes,WR,22,FALSE,0,0,0,4,5,46,9.74,1.25,Stratum 4
1987,3,57,TAM,Mark Carrier,WR,21,FALSE,0,1,10,12,61,177,5.79,5.083333333333333,Stratum 1
1987,3,59,SDG,Karl Wilson,DE,22,FALSE,0,0,1,9,14,103,5,1.5555555555555556,Stratum 1
1987,3,60,BUF,David Brandon,LB,22,FALSE,0,0,1,11,22,123,0.97,2,Stratum 1
1987,3,61,GNB,Dave Croston,OT,23,FALSE,0,0,0,2,1,16,2.11,0.5,Stratum 1
1987,3,62,STL,Robert Awalt,TE,23,FALSE,0,0,3,7,13,95,6.47,1.8571428571428572,Stratum 2
1987,3,63,DET,Jerry Ball,DT,22,FALSE,1,3,10,13,66,191,1.43,5.076923076923077,Stratum 1
1987,3,64,HOU,Cody Carlson,QB,23,FALSE,0,0,0,8,14,45,6.92,1.75,Stratum 2
1987,3,68,DAL,Jeff Zimmerman,OG,24,FALSE,0,0,0,4,2,34,4.62,0.5,Stratum 1
1987,3,71,GNB,Frankie Neal,WR,21,FALSE,0,0,0,1,4,12,8.95,4,Stratum 3
1987,3,72,MIN,Henry Thomas,DT,22,FALSE,0,2,13,14,82,213,4.29,5.857142857142857,Stratum 1
1987,3,73,KAN,Todd Howard,LB,22,FALSE,0,0,0,2,1,19,2.9,0.5,Stratum 1
1987,3,75,NYJ,Onzy Elam,LB,22,FALSE,0,0,0,3,0,10,5.16,0,Stratum 1
1987,3,83,NYG,Stephen Baker,WR,23,FALSE,0,0,5,6,24,90,1.84,4,Stratum 1
1988,1,2,KAN,Neil Smith,DE,22,FALSE,1,6,11,13,96,191,10,7.384615384615385,Stratum 4
1988,1,12,PHO,Ken Harvey,LB,23,FALSE,0,4,9,11,65,164,9.68,5.909090909090909,Stratum 4
1988,1,13,PHI,Keith Jackson,TE,23,FALSE,3,5,7,9,43,129,6.25,4.777777777777778,Stratum 2
