"season","round","pick","team","pfr_player_name","position","age","hof","allpro","probowls","seasons_started","seasons_played","w_av","games","RAS","w_av_py","stratum"
1991,5,124,"NWE","Ben Coates","TE",22,FALSE,2,5,7,10,43,158,2.02,4.3,"Stratum 1"
2005,5,163,"ATL","Frank Omiyale","OT",22,FALSE,0,0,2,8,17,75,3.54,2.125,"Stratum 1"
1995,4,120,"PIT","Oliver Gibson","DT",23,FALSE,0,0,4,9,27,133,1.92,3,"Stratum 1"
2020,4,140,"JAX","Shaquille Quarterman","LB",22,FALSE,0,0,0,5,5,74,4.77,1,"Stratum 1"
2001,7,232,"TEN","Keith Adams","LB",21,FALSE,0,0,1,7,14,85,2.61,2,"Stratum 1"
1992,10,271,"KAN","Jerry Ostroski","OG",22,FALSE,0,0,6,10,40,106,2.8,4,"Stratum 1"
2009,1,29,"NYG","Hakeem Nicks","WR",21,FALSE,0,0,4,7,40,92,3.55,5.71428571428571,"Stratum 1"
2007,7,246,"TAM","Kenneth Darby","RB",24,FALSE,0,0,0,4,4,41,0.42,1,"Stratum 1"
1989,4,93,"NYG","Lewis Tillman","RB",23,FALSE,0,0,1,7,17,109,2.21,2.42857142857143,"Stratum 1"
2017,3,105,"PIT","James Conner","RB",22,FALSE,0,2,6,9,49,110,4.33,5.44444444444444,"Stratum 1"
2007,6,205,"WAS","Jordan Palmer","QB",23,FALSE,0,0,0,8,0,5,4.58,0,"Stratum 1"
2009,1,6,"CIN","Andre Smith","OT",22,FALSE,0,0,8,13,41,121,4.02,3.15384615384615,"Stratum 1"
1990,1,23,"RAM","Bern Brostek","OC",23,FALSE,0,0,6,8,34,105,4.84,4.25,"Stratum 1"
1998,4,111,"NYJ","Jason Fabini","OT",24,FALSE,0,0,9,11,53,152,2.37,4.81818181818182,"Stratum 1"
1987,2,50,"TAM","Winston Moss","LB",21,FALSE,0,0,10,11,55,169,5.48,5,"Stratum 1"
1991,2,29,"CLE","Ed King","OG",21,FALSE,0,0,3,7,21,57,4.67,3,"Stratum 1"
1992,7,191,"MIA","Dave Moore","TE",22,FALSE,0,1,5,15,18,220,0.26,1.2,"Stratum 1"
1989,4,99,"IND","Pat Tomberlin","OG",23,FALSE,0,0,1,5,5,18,0,1,"Stratum 1"
1988,2,29,"DET","Chris Spielman","LB",22,FALSE,1,4,10,10,74,148,3.17,7.4,"Stratum 1"
2015,6,184,"TAM","Kaelin Clay","WR",23,FALSE,0,0,0,4,3,22,2.18,0.75,"Stratum 1"
2004,5,156,"NOR","Mike Karney","FB",23,FALSE,0,0,7,7,2,101,1.26,0.285714285714286,"Stratum 1"
