"Link","Name","POS","College","Year","RAS","Alltime RAS","Round","Draft Team"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6439"">Link</a>","Justin Fargas","RB","Southern California","2003","10.00","10.00","3","Raiders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8495"">Link</a>","David Buehler","PK","Southern California","2009","10.00","10.00","5","Cowboys"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=14081"">Link</a>","Jason Thompson","FS","Utah","2017","9.98","10.00",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16552"">Link</a>","Lorenzo Carter","LB","Georgia","2018","10.00","10.00","3","Giants"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=4969"">Link</a>","Edgerrin James","RB","Miami","1999","10.00","9.99","1","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5721"">Link</a>","Jarrod Cooper","SS","Kansas State","2001","10.00","9.99","5","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6056"">Link</a>","Javon Walker","WR","Florida State","2002","10.00","9.99","1","Packers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7215"">Link</a>","Matt Jones","WR","Arkansas","2005","10.00","9.99","1","Jaguars"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7541"">Link</a>","Manny Lawson","LB","North Carolina State","2006","10.00","9.99","1","49ers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7721"">Link</a>","Brannon Condren","SS","Troy","2007","9.90","9.99","4","Colts"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7730"">Link</a>","Calvin Johnson","WR","Georgia Tech","2007","10.00","9.99","1","Lions"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8081"">Link</a>","Brian Johnston","DE","Gardner-Webb","2008","10.00","9.99","7","Chiefs"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8991"">Link</a>","Joe Webb","WR","Alabama Birmingham","2010","9.99","9.99","6","Vikings"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9742"">Link</a>","Brandon Brooks","OG","Miami OH","2012","9.98","9.99","3","Texans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7819"">Link</a>","Jackie Battle","RB","Houston","2007","9.98","9.99",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10102"">Link</a>","Luke Kuechly","LB","Boston College","2012","10.00","9.99","1","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=11581"">Link</a>","Taylor Lewan","OT","Michigan","2014","10.00","9.99","1","Titans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=11758"">Link</a>","Byron Jones","CB","Connecticut","2015","10.00","9.99","1","Cowboys"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12036"">Link</a>","Kristjan Sokoli","DT","Buffalo","2015","10.00","9.99","6","Seahawks"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10695"">Link</a>","Lawrence Okoye","DT","No College","2013","10.00","9.99",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12874"">Link</a>","Moritz Boehringer","WR","International","2016","9.98","9.99","6","Vikings"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=14618"">Link</a>","Myles Garrett","DE","Texas A&amp;M","2017","9.99","9.99","1","Browns"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16703"">Link</a>","Mike Gesicki","TE","Penn State","2018","9.97","9.99","2","Dolphins"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16991"">Link</a>","Saquon Barkley","RB","Penn State","2018","9.97","9.99","1","Giants"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19693"">Link</a>","Jeremy Chinn","FS","Southern Illinois","2020","10.00","9.99","2","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=3550"">Link</a>","James Stewart","RB","Tennessee","1995","10.00","9.98","1","Jaguars"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5027"">Link</a>","Jevon Kearse","DE","Florida","1999","10.00","9.98","1","Titans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5259"">Link</a>","Anthony Becht","TE","West Virginia","2000","10.00","9.98","1","Jets"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5676"">Link</a>","Deuce McAllister","RB","Mississippi","2001","9.97","9.98","1","Saints"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6192"">Link</a>","Raonall Smith","LB","Washington State","2002","10.00","9.98","2","Vikings"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6233"">Link</a>","Tank Williams","FS","Stanford","2002","10.00","9.98","2","Titans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6259"">Link</a>","Wesly Mallard","SS","Oregon","2002","9.93","9.98","6","Giants"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6274"">Link</a>","Andre Johnson","WR","Miami","2003","9.98","9.98","1","Texans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7103"">Link</a>","Evan Mathis","OG","Alabama","2005","10.00","9.98","3","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7310"">Link</a>","Vincent Jackson","WR","Northern Colorado","2005","9.97","9.98","2","Chargers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7549"">Link</a>","Mario Williams","DE","North Carolina State","2006","10.00","9.98","1","Texans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8061"">Link</a>","Antwaun Molden","CB","Eastern Kentucky","2008","9.97","9.98","3","Texans"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9277"">Link</a>","Cam Newton","QB","Auburn","2011","10.00","9.98","1","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9456"">Link</a>","Julio Jones","WR","Alabama","2011","9.92","9.98","1","Falcons"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10112"">Link</a>","Markus Kuhn","DT","North Carolina State","2012","9.98","9.98","7","Giants"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12350"">Link</a>","Blake Muir","OG","Baylor","2016","9.97","9.98",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=13867"">Link</a>","Fabian Moreau","CB","UCLA","2017","9.98","9.98","3","Commanders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=16483"">Link</a>","Kolton Miller","OT","UCLA","2018","9.99","9.98","1","Raiders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=18243"">Link</a>","Chase Claypool","WR","Notre Dame","2020","9.98","9.98","2","Steelers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20126"">Link</a>","Bobby Price","FS","Norfolk State","2020","9.96","9.98",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5766"">Link</a>","Kyle Vanden Bosch","DE","Nebraska","2001","10.00","9.97","2","Cardinals"
